Year,Month,Day,CountofINVOICE_NO,PRODUCT_AMOUNT,PRODUCT_VOLUME
2018,May,25,23625,759730.55,256234.735
2018,June,29,23704,743709.72,261387.539
2018,June,1,23095,740948.46,251190.383
2018,June,15,22792,729339.16,252131.903
2018,June,8,22751,728524.86,249737.933
2018,May,11,22819,709402.27,248902.492
2018,May,18,22225,702028.41,240925.557
2018,June,22,22122,698284.13,245093.163
2018,May,24,21578,689607.53,232350.169
2018,May,4,21636,668333.09,237987.273
2018,April,20,22081,666695.8,242061.827
2018,June,14,20825,659970.05,227665.008
2018,May,31,20559,658560.78,222819.791
2018,April,27,21472,655999.11,234930.335
2018,June,7,20543,652985.7,223333.871
2018,June,28,20421,643250.6,226177.116
2018,May,17,20244,641546.59,220282.521
2018,April,13,21501,641103.52,237702.668
2018,May,23,19937,636433.32,214900.716
2018,June,21,20081,635049.69,221939.874
2018,May,10,20325,629207.52,220585.653
2018,June,18,19379,622868.21,215732.212
2018,March,30,21346,621089.28,235126.244
2018,June,6,19416,621028.66,211238.387
2018,May,3,20155,618967.27,220217.909
2018,May,16,19624,617488.18,213436.702
2018,May,29,19050,614658.98,207205.197
2018,June,13,19295,614504.39,212008.688
2018,June,4,18981,614064.66,208907.745
2018,April,26,20015,610655.66,218051.265
2018,May,30,18905,610624.11,205970.987
2018,May,14,19156,610547.25,212894.527
2018,March,23,20925,608127.93,234833.008
2018,April,6,20564,608102.28,229905.466
2018,June,5,18882,607810.86,206236.294
2018,May,21,18885,606075.96,207116.344
2018,June,27,19324,605268.64,213456.912
2018,May,22,18834,602509.96,204815.914
2018,May,15,18974,601659.91,208703.162
2018,June,2,19284,601053.21,204260.93
2018,March,16,21018,600109.18,237057.531
2018,June,12,18694,599768.89,206145.799
2018,June,30,19426,599732.54,211051.85
2018,June,16,19326,599713.71,207707.793
2018,June,25,19027,599644.46,210880.145
2018,June,19,18508,598007.42,207462.906
2018,June,20,18941,596379.13,207238.053
2018,May,2,19096,593617.47,210917.151
2018,February,2,20492,592193.19,227881.722
2018,June,11,18453,592168.75,203461.642
2018,May,1,19025,591494.5,210590.036
2018,April,19,19691,591217.15,215823.084
2018,May,9,19118,588117.23,207783.341
2018,June,26,18633,587191.66,206318.573
2018,May,8,18837,586192.34,207621.966
2018,March,29,19984,585105.74,220833.421
2018,March,9,20709,584560.59,232177.813
2018,June,9,18841,581753.23,199758.24
2018,May,12,19059,581534.16,203971.728
2018,May,7,18639,580717.04,206813.233
2018,April,30,18761,580204.33,206409.759
2018,February,16,20237,580029.68,228556.904
2018,April,5,19597,579740.29,218833.263
2018,January,26,20192,579020.97,224371.82
2018,April,12,19394,575794.19,214657.894
2018,April,18,18992,573609,209144.587
2018,April,25,18513,573150.95,205176.521
2018,May,26,18289,570690.43,192780.937
2018,February,23,19989,569375.16,226601.799
2018,June,23,18626,568994.25,200427.021
2018,April,17,18656,568132.82,208270.673
2018,March,2,19897,567090.19,225213.916
2018,May,19,18145,562407.14,192790.644
2018,January,3,20218,561771.65,224719.181
2018,May,5,18713,560213.21,199275.51
2018,April,2,18810,559736.09,211214.174
2018,February,9,19211,557897.07,215323.469
2018,April,23,18061,555820.66,201081.368
2018,April,11,18785,555198.5,208476.51
2018,April,28,18581,551757.64,197362.093
2018,April,24,17938,551392.76,198311.331
2018,February,1,18877,550619.19,211271.341
2018,February,8,19258,550141.72,211764.164
2018,April,4,18511,549921.31,207049.474
2018,April,16,18106,548039.28,202143.617
2018,March,1,19109,546459.34,214805.675
2018,March,15,19132,545818.78,215834.918
2018,January,12,19237,543863.91,215322.776
2018,March,28,18451,543470.48,205383.117
2018,January,19,19094,542132.71,213593.745
2018,March,20,18481,539864.36,210159.591
2018,March,6,18618,539120.67,212459.313
2018,April,3,18202,537951.38,202656.32
2018,April,21,18193,537549.61,194829.059
2018,February,15,18762,537341.51,210745.607
2018,April,10,18030,536807.76,202052.51
2018,March,26,18094,535634.42,204464.136
2018,June,17,17395,535280.6,185448.429
2018,June,3,17276,534725.58,181507.712
2018,April,9,17871,532135.83,200277.156
2018,June,24,17373,531502.17,186865.75
2018,February,22,18464,527139.72,209174.559
2018,January,31,18287,526851.79,202696.037
2018,June,10,16996,525158.63,180130.442
2018,May,20,17049,524634.12,179769.6
2018,March,8,18300,523788.91,207514.384
2018,March,22,18161,522196.38,202722.438
2018,March,27,17650,521685.87,198418.484
2018,January,2,18478,520746.83,209115.949
2018,March,31,18198,520523.05,196677.229
2018,February,5,17598,518813.2,199275.447
2018,May,28,16750,516712.8,174194.555
2018,March,12,17883,516671.46,204368.292
2018,February,6,17738,516415.54,197290.827
2018,March,19,17842,515991.27,201790.025
2018,March,5,17891,514988.04,204106.409
2018,January,25,18123,514040.79,199153.45
2018,May,13,16992,513392.82,179625.746
2018,April,14,17607,512483.71,189486.802
2018,March,14,17827,511604.68,202448.778
2018,April,29,17319,511329.06,182547.872
2018,February,14,17898,510785.8,199931.548
